year,month,total_registered,closed,dormant,liquidation,struck_off,active
2020,1,1979469,742819,2147,6516,41458,1186529
2020,2,1989777,744014,2170,6574,41974,1195045
2020,3,1995953,745426,2185,6637,42062,1199643
2020,4,1999190,745723,2213,6652,43325,1201277
2020,5,2004040,745979,2245,6668,43504,1205644
2020,6,2014969,746278,2242,6706,43770,1215973
2020,7,2031106,746814,2242,6715,42568,1232767
2020,8,2044112,749312,2243,6726,41040,1244791
2020,9,2063938,750929,2239,6786,40160,1263824
2020,10,2080837,752688,2246,6821,39403,1279679
2020,11,2093777,753558,2239,6844,39253,1291883
2020,12,2108614,753091,2247,6841,39913,1306522
2021,1,2119813,754069,2249,6858,39739,1316898
2021,2,2133835,755510,2251,6869,39434,1329771
2021,3,2151349,758350,2266,6893,38983,1344857
